,lat,long
333,34.78125,241.59375
334,34.78125,241.84375
335,34.78125,241.34375
336,34.78125,241.46875
337,34.78125,240.90625
338,34.78125,241.09375
339,34.78125,240.96875
340,34.78125,240.40625
341,34.78125,240.53125
342,34.78125,240.78125
343,34.78125,240.65625
344,34.78125,241.21875
345,34.84375,242.78125
346,34.84375,242.65625
347,34.78125,240.84375
348,34.78125,240.59375
349,34.84375,242.28125
350,34.84375,242.40625
351,34.84375,242.53125
352,34.78125,240.34375
353,34.78125,240.71875
354,34.84375,242.59375
355,34.84375,242.71875
356,34.78125,240.46875
357,34.84375,242.15625
358,34.84375,242.21875
359,34.84375,242.34375
360,34.84375,242.46875
361,34.84375,241.90625
362,34.84375,241.40625
363,34.84375,242.03125
364,34.84375,241.78125
365,34.84375,241.53125
366,34.84375,241.65625
367,34.84375,242.09375
368,34.84375,241.84375
369,34.84375,241.59375
370,34.84375,241.96875
371,34.84375,241.34375
372,34.84375,241.46875
373,34.84375,241.71875
374,34.84375,241.28125
375,34.84375,241.03125
376,34.84375,241.15625
377,34.84375,240.90625
378,34.84375,240.84375
379,34.84375,241.21875
380,34.84375,241.09375
381,34.84375,240.96875
382,34.84375,240.78125
383,34.84375,240.15625
384,34.84375,240.53125
385,34.84375,240.65625
386,34.84375,240.40625
387,34.84375,240.28125
388,34.84375,240.09375
389,34.84375,240.71875
390,34.84375,240.46875
391,34.84375,240.03125
392,34.90625,242.78125
393,34.90625,242.65625
394,34.84375,240.34375
395,34.90625,242.53125
396,34.84375,240.59375
397,34.84375,240.21875
398,34.90625,242.40625
399,34.90625,242.28125
400,34.90625,242.15625
401,34.90625,242.46875
402,34.90625,241.90625
403,34.90625,242.03125
404,34.90625,242.71875
405,34.90625,242.59375
406,34.84375,239.96875
407,34.90625,241.78125
408,34.90625,242.34375
409,34.90625,242.21875
410,34.90625,242.09375
411,34.90625,241.71875
412,34.90625,241.84375
413,34.90625,241.65625
414,34.90625,241.96875
415,34.90625,241.15625
416,34.90625,241.53125
417,34.90625,241.40625
418,34.90625,241.28125
419,34.90625,241.03125
420,34.90625,241.46875
421,34.90625,240.78125
422,34.90625,240.90625
423,34.90625,241.09375
424,34.90625,241.59375
425,34.90625,241.21875
426,34.90625,240.65625
427,34.90625,241.34375
428,34.90625,240.53125
429,34.90625,240.96875
430,34.90625,240.40625
431,34.90625,240.71875
432,34.90625,240.59375
433,34.90625,240.84375
434,34.90625,240.46875
435,34.90625,240.28125
